                       STATION NAME                  DATE           PRCP      TMAX      TMIN
                                       SELMA AL      2018 03 23     0.00      43.70     38.48
                                       SELMA AL      2018 03 24     0.00      45.14     39.92
                                       SELMA AL      2018 03 25     0.00      46.22     41.90
                                       SELMA AL      2018 03 26     0.00      46.94     41.72
                                       SELMA AL      2018 03 27     0.00      42.44     41.00
                                       SELMA AL      2018 03 28     0.00      44.96     41.00
                                       SELMA AL      2018 03 29     0.00      46.22     42.44
                                       SELMA AL      2018 03 30     0.92      46.22     42.26
                                       SELMA AL      2018 03 31     0.00      44.24     39.92
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 01     0.54      43.52     41.00
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 02     0.00      42.62     39.56
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 03     0.00      43.16     38.84
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 04     0.00      44.24     38.66
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 05     0.16      43.16     41.00
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 06     0.00      43.88     40.46
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 07     0.00      40.64     37.76
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 08     0.00      41.00     37.40
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 09     0.00      43.70     36.86
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 10     0.81      43.34     40.46
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 11     0.30      42.80     39.02
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 12     0.00      41.72     38.48
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 13     0.00      42.08     37.76
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 14     0.00      41.54     37.94
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 15     0.00      44.78     37.76
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 16     0.00      44.42     39.74
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 17     0.01      46.58     42.80
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 18     0.01      43.16     40.64
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 19     1.04      44.24     41.54
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 20     0.00      41.90     38.66
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 21     0.00      41.54     38.12
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 22     0.00      42.98     37.58
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 23     0.00      42.98     39.20
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 24     0.01      44.24     40.82
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 25     0.33      43.88     41.18
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 26     0.00      42.26     41.18
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 27     0.00      45.14     41.00
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 28     0.57      45.32     42.98
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 29     0.79      43.16     41.54
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 30     0.00      43.34     39.56
              MUSCLE SHOALS REGIONAL AIRPORT AL      2018 03 31     0.00      44.96     38.84
                          MONTGOMERY AIRPORT AL      2018 03 01     0.01      47.12     42.08
                          MONTGOMERY AIRPORT AL      2018 03 02     0.00      44.24     40.46
                          MONTGOMERY AIRPORT AL      2018 03 03     0.00      45.14     38.48
                          MONTGOMERY AIRPORT AL      2018 03 04     0.00      44.96     38.84
